filepath,label,split,augmented
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian2_png.rf.f68625ad842b7be50d132fe4db62b4b1.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla13_png.rf.f178cb9fa4590b6327d5a84e51c48df6.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian19_png.rf.407277e919a026c62d9ef40b9f6de664.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\watsons2_png.rf.6c545d2f06befb38ac89e8a4e285584c.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\sociolla10_png.rf.a5d6d8fb6654874ebc2b9fc66f0e1312.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla9_png.rf.fb09ff2ab59f5e60d2dbc063ab1defcf.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\watsons20_png.rf.37dfc4b031bf5688bbb740863ce13a58.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla1_png.rf.ab072d28f8e091b33549535e4e10eee8.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla3_png.rf.bd03a7fb8e4918513b7cb130da770cc3.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla16_png.rf.8c95b43fbc050497f3f4e8530da9cf2a.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\watsons15_png.rf.4e996c8c27781703eceb1bbf4ae08983.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons12_png.rf.48bd2ff9c230672766f28ac0dee3e061.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons14_png.rf.ee6222a20a1a499ba9b61a9e9342ebc1.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons5_png.rf.5d8e12d4fadc5600f60daa9852c99d5e.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian5_png.rf.9de2a4aa07f6376df70315cabbe65de1.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla18_png.rf.ab28d3bf3d7caacd07ed7211225e9b0e.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\sociolla4_png.rf.5bb881823b37dffcefab7770dde4533f.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons8_png.rf.00ef5ad450493077bdfcf2eea4c1b32c.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla2_png.rf.981a0e250ea84ae2cd44e004c8074ad9.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons18_png.rf.c4a6f2709f1cc5104a55c8a0cbfb8592.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla7_png.rf.1653f2b8843e6c2b8d659b20d27969a3.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\sociolla6_png.rf.3d352a266bdfa61db77c927b3fa98bd7.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons6_png.rf.75f894247de9028f30d7efaf727d7c8d.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian17_png.rf.7ab9e6fdcd1e6c0259f275a3d510f3be.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\sociolla19_png.rf.a02b59e7a59e78bafc90df3db70c7d58.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\guardian10_png.rf.3ef684fec3bc3393d8a1d5c232a344e4.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons10_png.rf.4e815669898a0023387b2aa39ea2be6f.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\guardian1_png.rf.501b4c49a925f135473609b35f92070d.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\valid\images\sociolla14_png.rf.dca01899f350433c181aa8a9804743f0.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons4_png.rf.ff22e5b2067f8a0429fd6a9325a94606.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian7_png.rf.c30b2322563f5fde1935231cee22ab27.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\watsons16_png.rf.3789e3ece70b8e99ef80b773631dfa88.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons1_png.rf.e0d1718fb31c398907b1263db2f4e2c7.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\test\images\guardian6_png.rf.deaa0d9cd745d4a5d56ee244dfd8dbef.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\sociolla5_png.rf.89bc2469e2b2e9a561ac9eff31b502a7.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\guardian9_png.rf.31a25e08161a15476d6ed46b74e8af16.jpg,Beauty,train,False
c:\file akmal\Capstone - Ai Eng - Spendly_ Workspace\data\Beauty\train\images\watsons7_png.rf.963105a64840e4874024ebfbf023a4d7.jpg,Beauty,train,False
