,Beauty,F&B,Gas,Groceries,Health,HouseHold,Lifestyle,Listrik,Transport
2024-01-07,150372.53561475844,495826.48679719656,201683.92769145788,799914.5308226063,100000.2639794283,297185.1709409372,249395.54814519183,349130.36895604356,180011.54577918933
2024-01-14,152637.27881397045,510494.9906137792,203195.75179026282,811629.6974959357,102127.92140103043,306411.5212486469,253803.08641997117,356076.11738781637,183721.01677964875
2024-01-21,155928.17231825367,516484.79365156253,208335.22205300216,819329.2038371917,102906.34320171866,309931.76824611786,259684.68610622856,360966.520997283,186289.105919635
2024-01-28,159207.58755307522,528310.8805407136,210715.24507819157,846551.1957762133,104228.78629727752,314346.1303329029,262994.6552099316,368757.8053909506,188025.65438752968
2024-02-04,160396.26327635846,533331.446466647,213923.21044326047,859330.726561175,106772.65044685485,320207.2385302321,267445.55067817256,373248.46453925176,192296.7574736516
2024-02-11,162750.36275425937,538574.3463215763,218118.28056678164,867813.1722887071,108006.95410169041,325575.14290745876,272467.8422262746,378211.0048134827,196225.5951867949
2024-02-18,166278.0798266727,546243.3779554327,220777.21649846964,880767.5373491243,109808.37671120446,329280.223433277,272769.42191568617,385671.22084384534,197844.76578673182
2024-02-25,167619.3800194428,556932.8922752471,221148.6798064532,892964.0447245662,111288.64582230999,330779.2588595076,280054.21786036267,390141.17054376646,200230.81970483062
2024-03-03,168396.24506598842,563143.8091057691,226474.34149031207,893741.0211347985,112272.27636578158,338842.30100621,281338.1020811444,395116.1810321858,203385.7598818429
2024-03-10,170589.7962168231,565015.4623843511,228290.5929329923,905525.7956059942,114181.4845566578,342278.0649301854,283123.7605428533,396338.9080162221,203578.67551642735
2024-03-17,170979.31953185293,572686.090485151,227810.2810337735,916920.4336596194,114381.29424994267,343631.04858993384,285433.261976327,400476.8190187097,204203.73646533614
2024-03-24,171814.812652053,569726.5664017632,229947.95015641162,913191.4287992199,114926.31049129252,342621.6914288241,286893.2199724935,402680.1523416838,206452.36395310386
2024-03-31,172864.24218012928,575444.0354248977,230737.72415488912,922149.007603092,115432.9505563249,345063.3036519882,285640.6158314518,403704.8186087664,206783.56801562186
2024-04-07,171440.76235985925,573224.8679784358,230761.63715696073,916577.5263460537,114681.06513667802,345741.663113861,289994.8770232375,401931.7919895857,206581.2453642452
